Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
5218,dia pergi ke kebun binatang untuk melihat perahu,dia pergi ke kebun binatang untuk melihat gajah,kebun binatang tidak menunjukkan perahu,kebun binatang bukan tempat melihat perahu,Kebun binatang adalah tempat yang berisi binatang bukan perahu,beberapa kebun binatang dibangun di atas sungai sehingga orang mengunjungi dengan perahu,orang-orang naik perahu ke kebun binatang itu
5219,"jika anda berenang di sungai, anda tahu bahwa air asin","jika anda berenang di laut, anda tahu bahwa air asin",air sungai tidak asin,"Air sungai adalah air tawar, bukan air garam.","Sungai tidak tersusun dari air asin, melainkan air tawar.",anda tidak harus memasukkan garam ke dalam air sungai,sup mendidih air asin
5220,kedelai fermentasi digunakan dalam proses pencucian,kedelai fermentasi digunakan dalam proses memasak,kedelai tidak bisa membantu orang mencuci pakaian,Kedelai digunakan dalam proses memasak,makanan fermentasi tidak digunakan untuk membersihkan.,Saya akan mencuci setelah memasak kedelai ini,Saya mencuci kedelai itu di samping mesin cuci saya
5221,toko-toko tutup setiap hari,toko-toko buka setiap hari,toko harus buka kalau tidak mereka tidak akan mendapatkan penghasilan,toko akan dibuka sebelum tutup,"Jika toko tutup setiap hari, orang tidak dapat membeli apa pun.",Saya menutup komputer saya dan pergi ke toko setiap hari,"toko itu tutup setiap hari, pasti tidak ada penghasilan"
5222,beberapa anjing memakai kacamata sebelum membaca koran mereka,beberapa orang tua mengenakan kacamata sebelum membaca koran mereka,anjing tidak memakai kacamata,Anjing tidak memakai kacamata.,anjing tidak bisa membaca,banyak orang memiliki anjing peliharaan,banyak orang memakai kacamata
5223,Saya akan mencuci ponsel saya besok,Saya akan mencuci mobil saya besok,telepon akan rusak jika orang mencucinya,Air akan menghancurkan telepon,Telepon tidak dapat dicuci.,Saya menyimpan telepon saya ketika saya mencuci kepala,saya mencuci pakaian saya setelah saya menutup telepon saya
5224,ia memiliki pohon jeruk dalam bukunya,ia memiliki pohon jeruk di kebunnya,pohon jeruk terlalu besar untuk tumbuh di buku,Pohon tidak tumbuh di buku.,Pohon jeruk literal tidak akan muat di dalam buku.,ada lukisan pohon jeruk di buku,buku ini tentang cara menanam pohon jeruk
5225,kopi hitam meninggalkan rasa pahit di buku,kopi hitam meninggalkan rasa pahit di mulut,buku tidak memiliki selera,Sebuah buku tidak bisa merasakan rasa.,Anda tidak mencicipi buku.,buku itu mencatat rasa kopi hitam,rasa makanan ini berbeda dengan catatan dalam buku
5226,Jim sangat lapar sehingga dia berjalan untuk menemukan perpustakaan,Jim sangat lapar sehingga dia berjalan mencari restoran,orang pergi ke restoran jika mereka lapar.,Anda tidak memiliki makanan di buku-buku perpustakaan saja,Perpustakaan tidak memiliki makanan.,Jim sangat lapar ketika ia meninggalkan perpustakaan.,Jim sangat lapar sehingga dia meninggalkan perpustakaan.
5227,pergi ke rumah sakit dan meminta polisi untuk datang ke sini,pergi ke rumah sakit dan meminta dokter untuk datang ke sini,polisi tidak bekerja di rumah sakit,Rumah sakit bukanlah tempat seseorang menemukan seorang polisi.,Rumah sakit tidak memiliki polisi,polisi mengirim penjahat yang terluka ke rumah sakit.,seorang polisi yang terluka dikirim ke rumah sakit.
5228,anda harus memberitahu hakim lelucon,Anda harus mengatakan yang sebenarnya kepada hakim,tidak diperbolehkan menceritakan lelucon kepada hakim.,Anda tidak menceritakan lelucon kepada hakim.,"Anda memberitahu hakim kebenaran, bukan lelucon.",hakim tidak suka orang yang menceritakan lelucon,hakim tidak pernah memberitahu orang lain lelucon
5229,dia memanjat sebuah patung dan bersembunyi di antara dedaunan,dia memanjat pohon dan bersembunyi di antara dedaunan,tidak ada daun pada patung,Daun tidak ditemukan dalam patung.,"Anda harus bersembunyi di balik penutup untuk bersembunyi dengan sukses daripada, berada di tempat terbuka.",patung ini terlihat seperti daun,Anda tidak harus menggambar daun pada patung itu
5230,John menggunakan mobil untuk naik turun,John menggunakan tumpangan untuk naik dan turun,orang menggunakan lift untuk naik turun bukan mobil,Coar tidak bisa mengangkat seseorang.,mobil tidak bisa terbang. (namun),ada mobil di jalan,bangunan ini tidak memiliki lift
5231,Saya menemukan pesawat ruang angkasa di sup,Saya menemukan lalat di sup,pesawat ruang angkasa tetap di ruang bukan sup,Pesawat ruang angkasa tidak cocok dengan sup,pesawat ruang angkasa tidak muat dalam sup,mereka menyimpan sup di pesawat ruang angkasa,astronot di pesawat ruang angkasa minum sup dengan peralatan khusus
5232,Saya percaya bermain judi akan membawa saya kesehatan yang baik,saya percaya bermain basket akan membawa saya kesehatan yang baik,tidak ada bukti bahwa berjudi baik untuk kesehatan,Berjudi tidak dikenal dapat meningkatkan kesehatan,Berjudi bukanlah kegiatan yang sehat,rahasia hidup bahagia bukanlah pertaruhan dan kesehatan yang baik,Anda tidak boleh bertaruh dengan kesehatan Anda yang baik
5233,"begitu seorang pria mencuri kudanya, dia pergi ke dokter","begitu seorang pria mencuri kudanya, dia pergi ke seorang polisi",Dokter tidak bisa menangkap pencuri,Dokter tidak digunakan dalam pengambilan kuda atau penegakan hukum.,"Jika seseorang mencuri kuda anda, anda akan pergi ke polisi bukan dokter",seorang pencuri mencuri dompet dokter,Dokter melihat pencuri mencuri komputernya
5234,Saya bisa melepaskan topi pria itu dari kakinya,Saya bisa melepaskan topi pria itu dari kepalanya,"orang memakai topi di kepala, bukan kaki.",seorang pria tidak memakai topi di kakinya,Topi tidak dikenakan di kaki.,pria bertopi tidak memakai sepatu di kakinya,pria yang kehilangan kakinya membeli topi.
5235,dia mengemudi di sepanjang sungai mencari hotel,dia mengemudi di sepanjang jalan mencari hotel,orang tidak bisa mengendarai mobil di dalam air,anda tidak bisa mengemudi di sungai.,Orang tidak mengemudi di sungai.,beberapa mobil tidak kedap air,orang menggunakan air untuk membuat mesin menjadi dingin
5236,Saya membuka jendela dan kemudian saya berjalan di dalam ruangan,Saya membuka pintu dan kemudian saya berjalan di dalam ruangan,orang memasuki ruangan dari pintu bukan jendela,Anda tidak masuk ke kamar melalui jendela.,Jendela tidak biasa berjalan di dalam ruangan.,pencuri menabrak jendela dan memasuki ruangan,lebah memasuki ruangan dari jendela
5237,"kebetulan teman ayahku adalah manajer hotel, jadi kami bisa punya kapal yang lebih baik","kebetulan teman ayahku adalah manajer hotel, jadi kami bisa mendapatkan kamar yang lebih baik",Hotel menyediakan kamar bukan kapal.,Seorang manajer hotel tidak mengelola kapal.,Hotel tidak menawarkan kapal sebagai produk.,ada ratusan kamar di kapal.,ada model kapal di dalam ruangan.
5238,di sore hari kami pergi berperahu di langit,di sore hari kami pergi berperahu di taman,perahu berjalan di air bukan di langit,Tidak ada air untuk perahu di langit.,Perahu tidak bisa terbang.,ada lukisan langit di kapal.,perahu dicat dengan warna langit
5239,dia menutup matanya dan pura-pura hidup,dia menutup matanya dan berpura-pura mati,orang tidak menganggap mata tertutup seperti hidup,jika anda melakukan itu anda berpura-pura mati atau tidur,Seseorang yang hidup tidak akan menutup matanya untuk berpura-pura.,dia menutup matanya saat tidur,sudah 70 tahun dan dia masih hidup
5240,butuh 10 detik untuk berlari sejauh 2 kilometer,butuh 10 menit untuk berlari sejauh 2 kilometer,mustahil bagi manusia untuk berlari 2 km dalam 10 detik,Dua kilometer tidak dapat dijalankan dalam sepuluh detik.,Orang tidak bisa berlari secepat itu,pesawat dapat melakukan perjalanan 2 km dalam 10 detik,anda memiliki 10 detik untuk menembak target 2 km.
5241,Saya mendapat pekerjaan di sebuah restoran dan bekerja sebagai penulis,Saya mendapat pekerjaan di sebuah restoran dan bekerja sebagai pelayan,Staf di restoran tidak disebut penulis.,"Anda menyajikan makanan di restoran, bukan buku",restoran tidak memiliki pekerjaan penulis,penulis suka membawa buku dengan dia ke restoran,penulis kadang-kadang bekerja di restoran
5242,kami melihat karakter kartun seperti aktor terkenal.,kami melihat karakter kartun seperti Mickey mouse dan Donald duck,karakter kartun berbeda dengan aktor,kartun adalah karakter yang membayangkan tetapi aktor adalah manusia,Karakter kartun fiksi.,aktor yang suka karakter kartun tertentu,aktor akan memainkan karakter kartun itu di film terbaru
5243,Minumlah lebih banyak anggur saat Anda merasa haus.,Minum lebih banyak air ketika anda merasa haus,anggur tidak sebagus air saat Anda merasa haus.,Anggur tidak akan melembabkan Anda secara efektif.,Anggur tidak mengandung air dan tidak akan memuaskan dahaga anda,Anda merasa haus Anda hanya minum anggur.,Anda tidak cukup haus untuk minum anggur.
5244,pada hari kerja saya bangun jam 6 pagi dan saya makan siang jam 7 pagi.,pada hari kerja saya bangun jam 6 pagi dan saya sarapan pagi jam 7 pagi.,Jam 7 pagi adalah pagi hari jadi ini bukan waktunya makan siang.,7 pagi terlalu dini untuk makan siang,Makan siang tidak bisa makan pukul 7 pagi.,Saya makan siang tiga jam kemudian setelah sarapan pagi jam 7 pagi.,Saya bangun jam 7 pagi dan makan siang dalam perjalanan ke kantor.
5245,Saya memasukkan garpu steak ke dalam buku saya,Aku menaruh garpu steak di mulutku,itu tidak sehat untuk memasukkan steak ke dalam buku,Buku bukanlah tempat seseorang menaruh sepotong steak.,Steak adalah bentuk rezeki yang dimaksudkan untuk dicerna.,buku ini tentang cara memasak steak,Saya menikmati membaca buku sambil menikmati steak
5246,"jangan buang lebih banyak laut, kita harus lebih efisien","jangan buang waktu lagi, kita harus lebih efisien",tidak mungkin memboroskan laut.,"Anda tidak bisa membuang laut, itu tidak mungkin",Laut terlalu besar dan tidak bisa disia-siakan.,orang membuang limbah mereka ke laut.,orang-orang memboroskan sumber daya alam di laut.
5247,ada loyang di kotak pensil,ada penggaris di kotak pensil,panci terlalu besar untuk dimasukkan ke dalam kotak pensil,Kotak pensil bukan tempat untuk menyimpan panci.,Panci tidak muat di kotak pensil.,saya menjual panci saya untuk kotak pensil,kotak pensil ini semahal wajan
5248,"Dari semua lampu, saya paling suka makan salmon","Dari semua ikan, saya paling suka makan salmon",salmon adalah sejenis ikan bukan pelita,Lampu tidak bisa dimakan.,Salmon bukan jenis lampu.,saya suka makan salmon dan lampu,sangat lezat untuk memasak salmon dengan lampu
5249,wajan saya dan saya makan lobster,pacarku dan aku makan lobster,panci jangan makan lobster,Panci adalah benda mati dan tidak bisa makan makanan,Panci tidak bisa makan,saya menggunakan wajan saya untuk memasak lobster.,panci ini tidak cocok untuk memasak lobster
5250,kami menggunakan cabang pistol tua sebagai tempat duduk,kami menggunakan cabang pohon tua sebagai tempat duduk,senjata tidak memiliki cabang.,Gun tidak punya cabang.,"Pistol bukanlah tempat untuk duduk, anggap sebagai tempat duduk",jenis senjata itu memiliki banyak cabang,senjata datang dari cabang geng jahat
5251,"ketika sebuah pesawat mulai lepas landas atau mendarat, penumpangnya harus mengencangkan kursi tempat duduk mereka","ketika sebuah pesawat mulai lepas landas atau mendarat, penumpangnya harus mengikat sabuk pengaman mereka",penumpang harus mengikat sabuk pengaman alih-alih kursi saat pesawat lepas landas atau mendarat.,Anda tidak dapat memasang kursi,Kursi kursi telah diikat ke pesawat sebelum lepas landas dan mendarat.,penumpang harus tetap di kursi ketika pesawat lepas landas atau mendarat.,pesawat mendarat ketika saya sedang duduk di kursi saya.
5252,kami melihat seekor ular melompat di air terjun di sana,kami melihat salmon melompat di air terjun di sana,ular tidak bisa melompat di air terjun,ular tidak bisa melompat,Ular tidak bisa berenang,ada seekor ular di dekat air terjun,ular itu berburu ikan yang melompat di air terjun
5253,"""hari ini kita akan memulai pelajaran baru,"" kata si juru masak","'hari ini kita akan memulai pelajaran baru,' kata guru itu",masak tidak mengajarkan pelajaran.,Tugas seorang juru masak adalah memasak makanan.,Koki bukan guru sehingga mereka tidak melakukan pelajaran.,si juru masak mengambil pelajaran memasaknya 2 tahun yang lalu,si juru masak mengundurkan diri dan mulai mengajarkan pelajaran memasak.
5254,Saya melampirkan catatan pada laporan saya dengan pisau kertas,Saya melampirkan catatan pada laporan saya dengan klip kertas,pisau kertas tidak digunakan untuk memegang catatan dan melapor dengan baik,Pisau tidak bisa menempelkan kertas.,Anda tidak membawa pisau ke kertas,Anda harus memeriksa kembali catatan dan laporan Anda setelah Anda menggunakan pisau kertas,catatan dan laporan rusak oleh pisau kertas
5255,kami mengisi mangkuk dengan api sebelum film,kami mengisi mangkuk dengan popcorn sebelum film,bioskop tidak menjual api.,Mangkuk tidak bisa mengandung api.,Api tidak dapat digunakan untuk mengisi hal-hal.,bioskop terbakar.,film baru ini tentang kebakaran hutan
5256,Dia memotong jarinya sambil menajamkan meja,dia memotong jarinya sambil menajamkan pensil,meja tidak perlu diasah.,Orang tidak mengasah meja.,Tidak ada gunanya mengasah bagian mana pun dari tabel.,dia mengasah pulpennya di atas meja.,ada pena tajam di atas meja.
5257,Sylvia mengambil handuk dari buku itu,Sylvia mengambil handuk dari kamar mandi,handuk terlalu besar untuk dimasukkan ke dalam buku,Sebuah buku terlalu kecil untuk memegang handuk dan handuk tidak akan disimpan di buku.,Buku tidak digunakan untuk menyimpan handuk.,dia sedang membaca buku tentang cara membuat handuk,handuk ada di sebelah buku
5258,tidak ada udara yang tersisa di penerbangan itu,tidak ada kursi tersisa di penerbangan itu,pasti ada udara di pesawat kalau tidak orang akan mati.,Tidak ada cara untuk menghilangkan semua udara dari penerbangan.,Penerbangan tidak membawa udara.,ada AC di pesawat,tekanan udara dalam penerbangan sama dengan tanah
5259,vasnya telah pecah menjadi dolar.,vas telah pecah berkeping-keping,vas tidak bisa membobol dolar,Dolar tidak tersedia dalam vas pecah.,Vas tidak terbuat dari dolar.,vasnya berharga 5 dolar,dibutuhkan 3 dolar untuk membuat vas ini
5260,itu menakjubkan untuk menambahkan selai kacang ke tangan,itu menakjubkan untuk menambahkan selai kacang ke roti bakar,orang tidak makan tangan mereka dengan selai kacang,Tangan tidak bisa dimakan.,Anda menambahkan selai kacang ke roti atau roti panggang,Anda tidak harus menaburkan selai kacang dengan tangan Anda,wadah mentega kacang saya terlihat seperti tangan
5261,dua polisi memegang pisau ke tenggorokannya dan mencuri tabungannya,dua perampok memegang pisau ke tenggorokannya dan mencuri tabungannya,polisi tidak mengancam orang atau mencuri barang.,Polisi tidak akan mencuri tabungan.,Polisi bukan perampok,polisi menangkap pencuri yang mengancam saya,penjahat mengancam polisi untuk membunuh sandera
5262,Saya membeli popcorn dan pisau setiap kali saya pergi ke bioskop,Saya membeli popcorn dan coke setiap kali saya pergi ke bioskop,bioskop tidak menjual pisau,Popcorn tidak cocok dengan pisau.,"Anda adalah pembunuh berantai jika Anda melakukannya, mereka tidak menjual pisau di bioskop",ada toko yang menjual pisau di sebelah bioskop,penjahat membawa pisau ke bioskop
5263,dia memberi makan bayi dengan meja,dia memberi makan bayi dengan sendok,orang tidak menggunakan meja untuk memberi makan bayi.,Seorang bayi tidak bisa makan meja. Makan malam,Bayi tidak bisa diberi makan dengan meja.,dia memberi makan bayinya di atas meja.,peralatan yang dia butuhkan untuk memberi makan bayinya ada di atas meja.
5264,dia menyendok keranjang instan ke dalam cangkir,dia menyendok kopi instan ke dalam cangkir,keranjang terlalu besar untuk cangkir,Keranjang instan tidak dapat disendok.,Keranjang terlalu besar untuk dimasukkan ke dalam cangkir.,ada cangkir di keranjang,dia membeli cangkir dan keranjang
5265,"salad hijau hanya memiliki sayuran hijau, seperti daging babi dan mentimun","salad hijau hanya memiliki sayuran hijau, seperti selada dan mentimun","daging babi adalah daging, bukan sayuran",Babi bukan sayur dan bukan hijau,babi bukan sayuran,Saya punya daging babi dan sayuran untuk makan malam,saya lebih suka sayuran daripada babi
